paper_id,scientist_id
W1699974644,A5053198773
W4393049160,A5068158708
W4393049160,A5054988222
W4393049160,A5111151582
W2516070948,A5090287577
W2516070948,A5001048078
W4390572234,A5101464840
W4390572234,A5114042778
W4390572234,A5103196920
W4390572234,A5010215191
W4390572234,A5100340933
W4390572234,A5023719223
W4390572234,A5101464839
W4396725052,A5026579594
W4396725052,A5008513987
W4396725052,A5112596906
W4396725052,A5085191884
W4396725052,A5027845457
W4396725052,A5084416353
W4396725052,A5019973522
W4396725052,A5038541072
W4396725052,A5060156257
W4396725052,A5078825588
W4396725052,A5075606288
W4396725052,A5043531850
W4396725052,A5072737556
W4396725052,A5113911867
W4396725052,A5046045433
W4396725052,A5058666169
W4396725052,A5080200121
W4396725052,A5104507741
W4396725052,A5005814286
W4396725052,A5054103413
W4396725052,A5042864253
W4396725052,A5049975927
W4396725052,A5046264498
W4396725052,A5087354088
W4396725052,A5073473730
W4396725052,A5006857559
W4396725052,A5062291278
W4396725052,A5050162828
W4396725052,A5002123585
W4396725052,A5052721644
W4396725052,A5108435928
W4396725052,A5004303005
W4396725052,A5051923296
W4396725052,A5081435839
W4396725052,A5030929698
W4396725052,A5003310479
W4396725052,A5042025364
W4396725052,A5108027436
W4396725052,A5074251847
W4396725052,A5091264238
W4396725052,A5066696544
W4396725052,A5050078759
W4396725052,A5019289584
W4396725052,A5108235483
W4396725052,A5015908820
W4396725052,A5065790633
W4396725052,A5058994555
W4396725052,A5024337672
W4396725052,A5045206393
W4396725052,A5087529597
W4396725052,A5085547862
W4396725052,A5057038228
W4396725052,A5066520460
W4396725052,A5047596313
W4396725052,A5005205127
W4396725052,A5019276004
W4396725052,A5022823811
W4396725052,A5013990412
W4396725052,A5090096595
W4396725052,A5075328287
W4395114650,A5073970739
W4395114650,A5024111500
W4395114650,A5069905478
W4395114650,A5040335455
W4395114650,A5053937459
W4395114650,A5018014073
W4395114650,A5023340072
W4395114650,A5001841414
W4395114650,A5090755680
W4395114650,A5027482571
W4395114650,A5002807748
W4395114650,A5008912019
W4395114650,A5003369753
W4395114650,A5082214180
W4395114650,A5087766645
W4396219101,A5062602392
W4396219101,A5020657883
W4396219101,A5100365770
W4396219101,A5015715135
W4396219101,A5092588859
W4396219101,A5066527323
W4396219101,A5019797831
W4396219101,A5054479793
W4396219101,A5095927614
W4396219101,A5095927613
W4396219101,A5102999157
W4396219101,A5088524419
W4396219101,A5110402040
W4396219101,A5004034712
W4396219101,A5085792367
W4396219101,A5066850752
W4396219101,A5001546561
W4391454253,A5093845250
W4392705654,A5035695289
W4392705654,A5020502788
W4392705654,A5084304800
W4392705654,A5051313626
W4392705654,A5080026482
W4392705654,A5075617696
W4392705654,A5003477374
W4392705654,A5090661986
W4392705654,A5093993815
W4392705654,A5071046290
W4392705654,A5071993955
W4392705654,A5008617998
W4392705654,A5060853707
W4392705654,A5028700411
W4392705654,A5061051332
W4392705654,A5020492321
W4392705654,A5033557720
W4392705654,A5086538449
W4392705654,A5071201590
W4391773766,A5087266881
W4391773766,A5088775441
W4391773766,A5020675055
W4396946095,A5089013373
W4396946095,A5018264806
W4396946095,A5048796350
W4396946095,A5034193995
W4396946095,A5078340309
W4396946095,A5080934130
W4396946095,A5072403685
W4393282598,A5088228078
W4393282598,A5071230295
W4393282598,A5055371975
W4393282598,A5038741277
W4393282598,A5034059447
W4391406637,A5076526390
W4391406637,A5081241929
W4391406637,A5030673855
W4391406637,A5049519110
W4391406637,A5064435439
W4391406637,A5081617867
W4391406637,A5042659494
W4391406637,A5086593940
W4391406637,A5039081101
W4391406637,A5050523672
W4391406637,A5039043973
W4391406637,A5027311239
W4391406637,A5083413949
W4391406637,A5075826668
W4391406637,A5084986147
W4391406637,A5042606552
W4391406637,A5081889907
W4391406637,A5025402338
W4391406637,A5059207425
W4391406637,A5093833457
W4391406637,A5093833458
W4391406637,A5011188356
W4391406637,A5015966485
W4391406637,A5064845209
W4391406637,A5032569611
W4391406637,A5027482571
W4391406637,A5076937452
W4391406637,A5078466508
W4391406637,A5049487102
W4391406637,A5110229021
W4391406637,A5083015560
W4391406637,A5041073807
W4391406637,A5087884887
W4391406637,A5001564860
W4391406637,A5031564852
W4391406637,A5061103007
W4391406637,A5023329301
W4391406637,A5023694251
W4391406637,A5044357064
W4391406637,A5081895226
W4391406637,A5071326008
W4391406637,A5074953707
W4391406637,A5066316755
W4391406637,A5016030888
W4391406637,A5091333429
W4391406637,A5066760172
W4391406637,A5029161067
W4391406637,A5019437674
W4391406637,A5069693450
W4390886889,A5044137839
W4390886889,A5100934868
W4390886889,A5100721030
W4390886889,A5026440995
W4390886889,A5026771191
W4390886889,A5100400217
W4390886889,A5012050092
W4390886889,A5052914554
W4393030767,A5103193588
W4393030767,A5013145958
W4393030767,A5054254835
W4393030767,A5100635080
W4393030767,A5011954037
W4393030767,A5057664014
W4393030767,A5100737773
W4393030767,A5019944386
W4394746686,A5022022592
W4394746686,A5073642647
W4394746686,A5103041311
W4394746686,A5059880278
W4394746686,A5093719707
W4394746686,A5056155985
W3174612873,A5091288542
W3174612873,A5037154191
W3174612873,A5058550942
W3174612873,A5101618125
W4391597419,A5077135257
W4391597419,A5079146238
W4391597419,A5034282536
W4391597419,A5016302815
W4391597419,A5009170752
W4391597419,A5053420299
W4391597419,A5100705949
W4391597419,A5015105927
W4391597419,A5024904526
W4391597419,A5075054318
W4391597419,A5010123141
W4391597419,A5064779749
W4391597419,A5003937158
W4391597419,A5073813414
W4391597419,A5058419004
W4391597419,A5061523147
W4391597419,A5064393538
W4391597419,A5085547862
W4391597419,A5057702358
W4391597419,A5111931926
W4391597419,A5109333912
W4391597419,A5110957580
W4391597419,A5019133381
W4391597419,A5087672712
W4391597419,A5025751575
W4391597419,A5084412014
W4391597419,A5048042745
W4391597419,A5014450486
W4391597419,A5111268632
W4391597419,A5090256845
W4391597419,A5000283880
W4391597419,A5020822582
W4391597419,A5044914684
W4391597419,A5015669951
W4391597419,A5013095123
W4391597419,A5030307585
W4391597419,A5009758190
W4391597419,A5069989341
W4391597419,A5025976601
W4391597419,A5034247564
W4391597419,A5093878657
W4391597419,A5091219997
W4391597419,A5060138314
W4391597419,A5101657401
W4391597419,A5032435683
W4391597419,A5060831304
W4391597419,A5014757076
W4391597419,A5030428474
W4391597419,A5101923306
W4391597419,A5051773233
W4391597419,A5085233153
W4391597419,A5074642671
W4391597419,A5002123585
W4391597419,A5110237529
W4391597419,A5060595935
W4391597419,A5033405400
W4391597419,A5030396271
W4391597419,A5110767641
W4391597419,A5019953858
W4391597419,A5083818499
W4391597419,A5000895141
W4391597419,A5112053488
W4391597419,A5103134925
W4391597419,A5008385581
W4391597419,A5100770632
W4391597419,A5039358787
W4391597419,A5020743917
W4391597419,A5026886390
W4391597419,A5078260458
W4391597419,A5024460519
W4391597419,A5074508324
W4391597419,A5077135257
W4391597419,A5058419004
W4391597419,A5061523147
W4391597419,A5103134925
W4391597419,A5112882637
W4391597419,A5014757076
W4391597419,A5008385581
W4391597419,A5032435683
W4391597419,A5060831304
W4391597419,A5112053488
W4391597419,A5103172670
W4391597419,A5012918430
W4391597419,A5112882929
W4391597419,A5057910370
W4391597419,A5060494012
W4391597419,A5103178051
W4391597419,A5045227754
W4391597419,A5034407880
W4391597419,A5027668797
W4391597419,A5071763269
W4391597419,A5111125639
W4391597419,A5111126717
W4391597419,A5100671812
W4391597419,A5093878658
W4391597419,A5113115436
W4391597419,A5012423955
W4391597419,A5051143765
W4391597419,A5003937158
W4391597419,A5073813414
W4390733952,A5021691588
W2298888770,A5019291222
W4397017012,A5100298455
W4397017012,A5029880301
W4397017012,A5082241181
W4397017012,A5020298436
W4397017012,A5085719140
W4400010769,A5071415742
W4400010769,A5081509914
